guild_name,chatgpt
vino (mercanti),Wine traders and distributors
voltaroli da panni,Cloth folders and packers
wax workers (arbitranti di cera),Candle and wax mold makers
weavers (carieri),Weavers of fine textiles
weavers (carreri e tessitori di fila),Weavers of thread and textile workers
weavers of cloth (tessitori di tela),Linen and cotton fabric weavers
wool weavers (lanarii),Weavers of wool fabrics
wool-cloth shopkeepers (ambasciali),Retailers selling wool textiles
workers (li lavoratori),General laborers and artisans
zappatori (confraternita),Brotherhood of diggers and farm laborers
zavatteri,Shoe and slipper makers
zoccolari,Wooden clog makers
